Source IP,Destination IP,Protocol,Length,Anomaly,Port
20.192.44.82,192.168.0.53,6,54,1,443.0
192.168.0.53,239.255.255.250,17,143,1,65265.0
192.168.0.1,192.168.0.53,17,381,1,1900.0
192.168.0.53,192.168.0.1,6,66,1,61972.0
192.168.0.1,192.168.0.53,6,62,1,43212.0
192.168.0.53,192.168.0.1,6,54,1,61972.0
192.168.0.53,192.168.0.1,6,251,1,61972.0
192.168.0.1,192.168.0.53,6,54,1,43212.0
192.168.0.1,192.168.0.53,6,1514,1,43212.0
192.168.0.1,192.168.0.53,6,1291,1,43212.0
192.168.0.1,224.0.0.1,2,42,1,0.0
192.168.0.53,224.0.0.252,2,46,1,0.0
192.168.0.53,224.0.0.251,2,46,1,0.0
192.168.0.53,239.255.255.250,2,46,1,0.0
192.168.0.53,239.255.188.58,2,46,1,0.0
150.171.73.16,192.168.0.53,6,54,1,443.0
192.168.0.53,239.255.255.250,17,143,1,57117.0
192.168.0.1,192.168.0.53,17,381,1,1900.0
192.168.0.53,49.205.72.130,17,76,1,62784.0
192.168.0.53,49.205.72.130,17,76,1,63357.0
192.168.0.53,49.205.72.130,17,76,1,64919.0
49.205.72.130,192.168.0.53,17,226,1,53.0
49.205.72.130,192.168.0.53,17,226,1,53.0
49.205.72.130,192.168.0.53,17,176,1,53.0
192.168.0.53,35.171.81.163,6,66,1,53966.0
192.168.0.53,183.82.243.66,17,75,1,58976.0
192.168.0.53,183.82.243.66,17,75,1,60803.0
192.168.0.53,183.82.243.66,17,75,1,54229.0
183.82.243.66,192.168.0.53,17,125,1,53.0
183.82.243.66,192.168.0.53,17,103,1,53.0
183.82.243.66,192.168.0.53,17,91,1,53.0
192.168.0.53,142.251.43.46,17,1292,1,52532.0
192.168.0.53,142.251.43.46,17,1292,1,52532.0
192.168.0.53,142.251.43.46,17,122,1,52532.0
192.168.0.53,142.251.43.46,17,1288,1,52532.0
192.168.0.53,142.251.43.46,17,1292,1,52532.0
192.168.0.53,142.251.43.46,17,1292,1,52532.0
192.168.0.53,142.251.43.46,17,437,1,52532.0
192.168.0.53,142.251.43.46,17,135,1,52532.0
142.251.43.46,192.168.0.53,17,82,1,443.0
192.168.0.53,35.171.81.163,6,66,1,63045.0
142.251.43.46,192.168.0.53,17,1292,1,443.0
35.171.81.163,192.168.0.53,6,66,1,443.0
192.168.0.53,35.171.81.163,6,54,1,53966.0
192.168.0.53,142.251.43.46,17,1292,1,52532.0
192.168.0.53,35.171.81.163,6,1965,-1,53966.0
142.251.43.46,192.168.0.53,17,1292,1,443.0
142.251.43.46,192.168.0.53,17,1292,1,443.0
142.251.43.46,192.168.0.53,17,323,1,443.0
142.251.43.46,192.168.0.53,17,986,1,443.0
142.251.43.46,192.168.0.53,17,67,1,443.0
192.168.0.53,142.251.43.46,17,120,1,52532.0
192.168.1.100,10.0.0.5,DDoS,1456,1,80.0
192.168.1.100,10.0.0.5,DDoS,1649,-1,80.0
192.168.1.100,10.0.0.5,Malware,772,-1,80.0
192.168.0.53,35.171.81.163,6,55,1,63045.0
142.251.221.202,192.168.0.53,17,1288,1,443.0
142.251.221.202,192.168.0.53,17,1292,-1,443.0
142.251.221.202,192.168.0.53,17,118,1,443.0
142.251.221.202,192.168.0.53,17,195,1,443.0
142.251.221.202,192.168.0.53,17,1288,1,443.0
192.168.0.53,142.251.221.202,17,77,1,55993.0
192.168.0.53,142.251.221.202,17,73,1,55993.0
192.168.0.53,142.251.221.202,17,75,1,55993.0
142.251.221.202,192.168.0.53,17,66,1,443.0
35.171.81.163,192.168.0.53,6,66,1,443.0
192.168.0.53,142.250.4.188,6,55,1,57104.0
142.250.4.188,192.168.0.53,6,66,1,443.0
192.168.0.53,239.255.255.250,17,143,1,57117.0
192.168.0.1,192.168.0.53,17,381,1,1900.0
192.168.0.202,224.0.0.251,17,79,1,5353.0
192.168.0.53,142.250.4.188,6,55,1,49187.0
142.250.4.188,192.168.0.53,6,66,1,443.0
142.251.43.46,192.168.0.53,17,78,1,443.0
192.168.0.53,142.251.43.46,17,76,1,52532.0
192.168.0.53,49.205.72.130,17,77,1,56253.0
192.168.0.53,49.205.72.130,17,77,1,60912.0
49.205.72.130,192.168.0.53,17,301,1,53.0
49.205.72.130,192.168.0.53,17,313,1,53.0
192.168.0.53,23.11.39.161,6,66,1,63313.0
23.11.39.161,192.168.0.53,6,66,1,80.0
192.168.0.53,23.11.39.161,6,54,1,63313.0
